lagged_diff_year_prior_v2x_elecoff,lagged_diff_year_prior_v2elembaut,lagged_v2ellocons,lagged_v2xlg_leginter,lagged_v2clslavem,lagged_v2lginvstp,lagged_diff_year_prior_v2x_neopat,lagged_v2dlconslt,lagged_is_closed_autocracy,lagged_v2x_clpriv
0.0,0.0,13,0,-1.053,-0.272,0.0,-0.824,1,0.238
0.0,0.0,7,0,-2.317,-1.745,0.0,-1.467,1,0.001
0.0,0.0,0,0,1.418,0.0,0.0,0.543,1,0.389
0.0,0.0,0,0,1.485,0.0,0.0,-0.649,1,0.79
0.0,0.0,27,0,2.381,2.206,0.0,1.596,0,0.911
0.0,0.0,7,0,1.728,0.883,0.0,1.706,0,0.912
0.0,0.0,4,0,1.809,0.844,0.0,0.634,0,0.83
0.0,0.0,8,0,1.721,1.207,0.001,2.386,0,0.938
-0.5,0.0,0,0,0.391,0.0,-0.005,0.831,1,0.662
0.0,0.0,0,0,1.222,-1.419,0.0,0.573,1,0.5
-1.0,0.0,0,1,-0.255,0.0,0.009,-0.729,0,0.187
0.0,0.0,3,0,0.604,1.003,0.0,2.483,0,0.758
0.0,0.0,7,0,-0.389,-0.579,0.0,-0.463,1,0.491
0.0,0.0,7,0,-0.158,-1.412,0.0,-1.01,1,0.029
0.0,0.0,0,0,1.321,0.0,0.0,0.167,1,0.8
0.0,0.0,0,0,-1.486,0.0,0.0,-2.461,1,0.074
0.0,0.0,0,0,0.411,0.0,0.0,-0.569,1,0.408
0.0,0.0,4,0,0.828,-1.013,0.0,0.266,0,0.494
0.0,0.0,2,0,0.545,-0.552,0.0,-1.127,0,0.53
0.0,0.0,20,0,2.316,1.259,-0.002,1.735,0,0.911
0.0,0.0,0,0,0.431,0.0,0.0,-2.364,1,0.319
0.0,0.0,7,0,-0.168,-1.163,0.003,-0.547,1,0.527
0.0,0.0,10,0,1.641,1.116,-0.002,1.022,0,0.749
0.0,0.0,0,0,-1.371,-1.271,0.0,-2.2,1,0.006
0.0,0.0,8,0,0.587,1.139,-0.025,-0.278,0,0.604
0.0,0.0,5,0,2.62,1.495,0.0,2.158,0,0.892
0.0,0.0,0,0,1.361,0.0,0.0,-1.686,1,0.066
0.0,0.0,1,0,0.487,0.949,0.0,0.319,0,0.556
0.0,0.0,5,0,0.021,-1.21,0.0,-1.006,1,0.163
0.0,0.0,2,0,-0.352,-1.856,0.005,-1.813,1,0.201
0.0,0.0,10,0,2.788,3.247,-0.001,1.709,0,0.952
0.0,0.0,1,0,-0.518,-2.235,0.0,-1.337,0,0.579
0.0,0.0,1,0,0.292,-0.101,0.0169999999999999,-1.293,0,0.749
0.0,0.0,4,0,0.117,-0.393,0.0139999999999999,-0.952,1,0.489
0.0,0.0,3,0,-0.678,-2.493,0.0,0.193,0,0.173
0.0,-1.2029999999999998,1,0,-0.157,-1.091,0.071,-1.436,0,0.05
0.0,0.0,2,0,-0.34,0.202,0.001,-0.727,1,0.375
0.0,0.0,5,0,-0.998,-1.069,-0.001,-1.903,1,0.182
0.0,0.0,21,0,0.479,-0.009,0.0,0.315,0,0.581
0.0,0.0,27,0,2.148,3.045,0.0,1.912,0,0.959
0.0,0.1420000000000001,11,0,1.765,1.686,-0.017,1.773,0,0.953
0.0,0.0,3,0,-0.013,-1.418,0.0,-0.728,1,0.479
0.0,0.0,5,0,1.529,-1.964,0.0,-0.077,1,0.337
0.0,0.0,6,0,2.978,2.881,0.0,3.484,0,0.922
0.5,0.8240000000000001,1,0,0.995,-1.159,-0.075,-0.34,0,0.771
0.0,0.0,0,0,-0.625,0.0,0.0,-2.696,1,0.266
0.0,0.0,1,0,-0.767,-1.509,0.0,-0.272,0,0.121
0.0,0.0,3,0,-0.008,-2.054,0.0,-0.744,1,0.307
0.0,0.0,4,0,0.973,-1.45,0.024,-0.813,0,0.795
0.0,0.0,4,0,-0.733,-1.814,0.0,-0.487,1,0.235
0.0,0.0,0,0,0.424,0.0,0.0,-1.206,1,0.53
0.0,0.0,7,0,0.295,-1.854,0.0,-0.619,1,0.094
0.0,0.0,24,0,2.399,0.652,0.0,0.949,0,0.949
0.0,0.0,4,0,0.527,1.442,0.0,1.687,0,0.67
0.0,0.0,0,0,0.579,-1.452,0.0,0.877,1,0.269
0.0,0.0,2,0,1.226,-1.053,0.0,-1.616,1,0.413
0.0,0.0,0,0,1.533,0.0,0.016,-1.312,1,0.413
0.0,0.0,17,0,2.156,0.516,-0.001,1.091,0,0.916
0.0,0.4750000000000001,7,0,1.427,1.799,-0.001,0.559,0,0.81
0.0,0.0,6,0,1.105,1.956,-0.0029999999999999,2.936,0,0.868
0.0,0.0,6,0,1.557,0.039,0.0,-0.773,1,0.682
0.0,0.0,13,0,1.353,-0.023,0.0,1.014,0,0.728
0.0,0.0,26,0,1.882,2.482,0.0,1.113,0,0.908
0.0,0.0,9,0,-0.096,0.888,0.0,0.2,1,0.434
0.0,-0.6679999999999999,16,0,1.027,0.452,0.003,0.244,0,0.45
0.0,0.0,2,0,-0.777,1.257,0.0,1.093,1,0.506
0.0,0.0,7,0,-0.361,0.058,0.0,0.194,0,0.272
0.0,0.0,11,0,1.571,0.408,0.0,0.705,0,0.771
-1.0,0.0,0,1,1.822,0.0,-0.0409999999999999,-0.474,1,0.567
0.0,0.0,17,0,-1.685,0.002,0.0,-0.227,1,0.443
0.0,0.26,0,1,-0.492,0.0,-0.0099999999999998,-1.155,1,0.25
0.0,0.0,7,0,2.059,2.166,-0.002,2.107,0,0.948
0.0,0.0,2,0,-0.311,-0.592,0.0,-0.454,0,0.459
0.0,0.0,1,0,-0.215,-1.623,-0.011,-0.713,0,0.214
-1.0,0.0,0,1,0.575,0.0,-0.014,0.744,0,0.652
0.0,0.0,1,0,1.37,-2.356,-0.005,-1.868,1,0.489
0.0,-0.629,0,0,0.531,0.0,0.195,-0.271,1,0.733
0.0,0.0,5,0,-2.17,-1.163,0.0,-0.782,0,0.39
0.0,1.2280000000000002,5,0,1.608,1.094,-0.0409999999999999,2.174,0,0.834
0.0,0.0,11,0,0.337,-2.735,0.0,-0.159,0,0.69
0.0,0.0,7,0,-0.015,-1.1,-0.002,-0.487,1,0.039
0.0,0.0,0,0,1.193,0.0,0.001,-0.526,1,0.471
0.0,0.0,0,0,-0.703,0.535,0.0,-0.715,1,0.25
0.0,0.0,7,0,2.271,2.524,0.0,2.82,0,0.94
0.0,0.0,24,0,2.057,1.164,-0.001,1.67,0,0.943
0.0,0.0,3,0,-0.005,-2.183,0.0,-2.181,0,0.319
0.0,0.0,3,0,-1.084,0.027,0.0,-1.022,1,0.288
0.0,0.0,0,0,0.524,0.0,0.0,-1.581,1,0.738
0.0,0.0,4,0,-2.412,-2.396,0.0,-1.686,1,0.001
0.0,0.0,7,0,2.17,2.84,0.0,4.238,0,0.944
0.0,0.0,0,0,-2.075,0.0,0.0,-2.36,1,0.089
0.0,0.0,0,1,-1.284,0.0,0.1089999999999999,-0.591,1,0.505
0.0,0.0,0,0,1.506,0.0,0.044,-0.437,1,0.643
0.0,0.0,3,0,0.081,-2.338,0.0,-1.13,0,0.287
0.0,-1.319,0,0,1.249,0.0,0.363,-0.593,1,0.533
0.0,0.0,8,0,0.278,0.112,0.001,0.827,0,0.6
0.0,0.0,6,0,1.353,-1.392,-0.003,-0.948,1,0.562
0.0,0.0,10,0,1.402,-2.15,-0.001,-1.006,1,0.444
0.0,0.0,1,0,-0.343,1.516,0.0,0.327,0,0.182
0.0,0.0,0,1,-1.078,0.0,0.01,-0.224,1,0.147
0.0,0.0,7,0,-1.234,-2.657,-0.001,-2.337,1,0.083
0.0,0.0,7,0,-0.265,-2.178,0.0,-0.531,1,0.049
0.0,0.016,3,0,0.67,0.266,-0.001,0.674,0,0.415
